film_id,original_name,cnc_agrement_year,allocine_id,allocine_title,allocine_url
174,Un Mohican,2023,319448,Le Mohican,https://www.allocine.fr/film/fichefilm_gen_cfilm=319448.html
175,La pie voleuse,2023,320510,La Pie voleuse,https://www.allocine.fr/film/fichefilm_gen_cfilm=320510.html
176,"La vie, en gros",2023,1000002094,"La Vie, en gros",https://www.allocine.fr/film/fichefilm_gen_cfilm=1000002094.html
177,Dao,2023,309159,Dao,https://www.allocine.fr/film/fichefilm_gen_cfilm=309159.html
178,Les truites,2023,302436,Fario,https://www.allocine.fr/film/fichefilm_gen_cfilm=302436.html
179,Les tempêtes,2023,281972,Les Tempêtes,https://www.allocine.fr/film/fichefilm_gen_cfilm=281972.html
180,Gérald le conquérant,2023,319824,Gérald le conquérant,https://www.allocine.fr/film/fichefilm_gen_cfilm=319824.html
181,Pas un mot,2023,285063,Pas un mot,https://www.allocine.fr/film/fichefilm_gen_cfilm=285063.html
182,Le système Victoria,2023,293915,Le Système Victoria,https://www.allocine.fr/film/fichefilm_gen_cfilm=293915.html
183,Ma France à moi,2023,305779,Ma France à moi,https://www.allocine.fr/film/fichefilm_gen_cfilm=305779.html
184,Of unwanted things and people,2023,293542,Of Unwanted Things and People,https://www.allocine.fr/film/fichefilm_gen_cfilm=293542.html
185,Fêlés,2023,279642,Heureux les fêlés,https://www.allocine.fr/film/fichefilm_gen_cfilm=279642.html
186,L'amour égaré,2023,313784,Une vie rêvée,https://www.allocine.fr/film/fichefilm_gen_cfilm=313784.html
187,Dans l'eau,2023,321707,Par amour,https://www.allocine.fr/film/fichefilm_gen_cfilm=321707.html
188,Les deguns 2,2023,266418,Les Déguns,https://www.allocine.fr/film/fichefilm_gen_cfilm=266418.html
189,Los pequenos,2023,307542,Des amours simples,https://www.allocine.fr/film/fichefilm_gen_cfilm=307542.html
190,Les reines du drame,2023,279360,Les Reines du drame,https://www.allocine.fr/film/fichefilm_gen_cfilm=279360.html
191,Motel destino,2023,319052,Motel Destino,https://www.allocine.fr/film/fichefilm_gen_cfilm=319052.html
192,Ollie,2023,316785,Ollie,https://www.allocine.fr/film/fichefilm_gen_cfilm=316785.html
193,Dans la peau de Blanche Houellebecq,2023,307806,Dans la peau de Blanche Houellebecq,https://www.allocine.fr/film/fichefilm_gen_cfilm=307806.html
194,Spectateurs !,2023,317901,Spectateurs !,https://www.allocine.fr/film/fichefilm_gen_cfilm=317901.html
195,Jane Austen a gâché ma vie,2023,321488,Jane Austen a gâché ma vie,https://www.allocine.fr/film/fichefilm_gen_cfilm=321488.html
196,Nos jours les plus fous,2023,Not found,Not found,Not found
197,France terre d'asile,2023,311231,Quelques jours pas plus,https://www.allocine.fr/film/fichefilm_gen_cfilm=311231.html
198,Rendez-vous avec Pol Pot,2023,326729,Rendez-vous avec Pol Pot,https://www.allocine.fr/film/fichefilm_gen_cfilm=326729.html
199,Zénithal,2023,312870,Zénithal,https://www.allocine.fr/film/fichefilm_gen_cfilm=312870.html
200,Pompei,2023,1000020531,Pink Floyd at Pompeii – MCMLXXII,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000020531.html
201,A la frontière,2023,126718,La Vérité n'a pas de frontière,https://www.allocine.fr/film/fichefilm_gen_cfilm=126718.html
202,Aïcha,2023,315008,Aïcha,https://www.allocine.fr/film/fichefilm_gen_cfilm=315008.html
203,Else,2023,280859,Else,https://www.allocine.fr/film/fichefilm_gen_cfilm=280859.html
204,Les damnés ne pleurent pas,2023,306744,Les Damnés ne pleurent pas,https://www.allocine.fr/film/fichefilm_gen_cfilm=306744.html
205,Ebba,2023,291178,Mon parfait inconnu,https://www.allocine.fr/film/fichefilm_gen_cfilm=291178.html
206,Septième degré,2023,Not found,Not found,Not found
207,Le vourdalak,2023,310828,Le Vourdalak,https://www.allocine.fr/film/fichefilm_gen_cfilm=310828.html
208,Il ritorno,2023,185865,Il ritorno di Clint il solitario,https://www.allocine.fr/film/fichefilm_gen_cfilm=185865.html
209,Submergée,2023,323132,Belladone,https://www.allocine.fr/film/fichefilm_gen_cfilm=323132.html
210,Lost country,2023,308393,Lost Country,https://www.allocine.fr/film/fichefilm_gen_cfilm=308393.html
211,Justa,2023,311231,Quelques jours pas plus,https://www.allocine.fr/film/fichefilm_gen_cfilm=311231.html
212,Ernest Cole : A la recherche de l'homme total,2023,Not found,Not found,Not found
213,Le molière imaginaire,2023,310335,Le Molière imaginaire,https://www.allocine.fr/film/fichefilm_gen_cfilm=310335.html
214,Mals,2023,1000009324,MadS,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000009324.html
215,Le domaine,2023,293706,Le Domaine,https://www.allocine.fr/film/fichefilm_gen_cfilm=293706.html
216,Elbow,2023,301065,Elbow,https://www.allocine.fr/film/fichefilm_gen_cfilm=301065.html
217,Morlaix,2023,299969,Morlaix,https://www.allocine.fr/film/fichefilm_gen_cfilm=299969.html
218,Au cœur des ténèbres,2023,288565,Au coeur des ténèbres,https://www.allocine.fr/film/fichefilm_gen_cfilm=288565.html
219,Reescritura,2023,305861,Dos Madres,https://www.allocine.fr/film/fichefilm_gen_cfilm=305861.html
220,Le chantier,2023,58928,Le Chantier,https://www.allocine.fr/film/fichefilm_gen_cfilm=58928.html
221,Blue Banks,2023,Not found,Not found,Not found
222,L'effacement du maitre,2023,Not found,Not found,Not found
223,A la recherche,2023,1000001353,Tom le chat - À la recherche du doudou perdu,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000001353.html
224,Les meutes,2023,281970,Les Meutes,https://www.allocine.fr/film/fichefilm_gen_cfilm=281970.html
225,"Ma vie, ma gueule",2023,289238,Ma vie Ma gueule,https://www.allocine.fr/film/fichefilm_gen_cfilm=289238.html
226,Tardes de soledad,2023,1000000587,Tardes de soledad,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000000587.html
227,Puan,2023,314795,El Profesor,https://www.allocine.fr/film/fichefilm_gen_cfilm=314795.html
228,Hors du temps,2023,325656,Hors du temps,https://www.allocine.fr/film/fichefilm_gen_cfilm=325656.html
229,Un couple heureux,2023,Not found,Not found,Not found
230,Loup et chien,2023,291014,Loup & Chien,https://www.allocine.fr/film/fichefilm_gen_cfilm=291014.html
231,Sang craché des lèvres belles,2023,306258,Sang craché des lèvres belles,https://www.allocine.fr/film/fichefilm_gen_cfilm=306258.html
232,La voie lactée,2023,67428,La voie lactée,https://www.allocine.fr/film/fichefilm_gen_cfilm=67428.html
233,All we imagine as light,2023,290444,All We Imagine As Light,https://www.allocine.fr/film/fichefilm_gen_cfilm=290444.html
234,La fête du retour,2023,Not found,Not found,Not found
235,Terminal,2023,40882,Le Terminal,https://www.allocine.fr/film/fichefilm_gen_cfilm=40882.html
236,Dernier Signal,2023,317227,Dernier signal,https://www.allocine.fr/film/fichefilm_gen_cfilm=317227.html
237,Un monde violent,2023,308333,Un monde violent,https://www.allocine.fr/film/fichefilm_gen_cfilm=308333.html
238,Continent magnétique,2023,314240,Voyage au pôle sud,https://www.allocine.fr/film/fichefilm_gen_cfilm=314240.html
239,Valensole,2023,Not found,Not found,Not found
240,Sans cœur,2023,315136,Sans coeur,https://www.allocine.fr/film/fichefilm_gen_cfilm=315136.html
