mubi_label,english_label,french_label
Best Young Actor/Actress,Best Promising Actress,Meilleur espoir féminin
Best Young Actress,Best Promising Actress,Meilleur espoir féminin
Best Young Promise,Best Promising Actor,Meilleur espoir masculin
Best Youth Feature Film,Best Feature,Meilleur long métrage
Best Youth Performance,Best Promising Actor,Meilleur espoir masculin
Bester Dokumentarfilm,Best Documentary,Meilleur documentaire
Bester Film (international),Best International Film,Meilleur film international
Bester internationaler Film,Best International Film,Meilleur film international
Bester nationaler Film,Best Regional Film,Meilleur film par région
Bingham Ray Breakthrough Director Award,Best Director,Meilleur réalisateur
BMO Allan King Award for Best Documentary Film,Best Documentary,Meilleur documentaire
BNL Gruppo BNP Paribas - People’s Choice Award,Audience Award,Prix du public
Bodil - Best American Film,Best Regional Film,Meilleur film par région
Bodil - Best Non-American Film,Best Regional Film,Meilleur film par région
Bodil Special Award,Special Mention,Mention spéciale
Breakthrough (Audience Award),Audience Award,Prix du public
Breakthrough Actor,Best Actor,Meilleur acteur
Breakthrough Actress,Best Actress,Meilleure actrice
Breakthrough Artist,Best Artist,Meilleur artiste
Breakthrough Artist Award,Best Artist,Meilleur artiste
Breakthrough British/Irish Filmmaker,Best Director,Meilleur réalisateur
Breakthrough British/Irish Filmmaker of the Year,Best Director,Meilleur réalisateur
Breakthrough Directing,Best Director,Meilleur réalisateur
Breakthrough Director Award,Best Director,Meilleur réalisateur
Breakthrough Filmmaker (Milos Stehlik Award),Best Director,Meilleur réalisateur
Breakthrough Performance,Best Actor,Meilleur acteur
Breakthrough Performance - Male,Best Actor,Meilleur acteur
Breakthrough Performance Award,Best Actor,Meilleur acteur
Breakthrough Performer,Best Actor,Meilleur acteur
Breakthrough Performer of the Year,Best Actor,Meilleur acteur
Brian Award,Festival Award,Prix du festival
Bridging the Borders Award,Festival Award,Prix du festival
British Academy Children's Award,Festival Award,Prix du festival
British Actor of the Year,Best Actor,Meilleur acteur
British Actress of the Year,Best Actress,Meilleure actrice
British Film of the Year,Best Regional Film,Meilleur film par région
British Short Animation,Best Animated Film,Meilleur film d’animation
British Short Film,Best Short Film,Meilleur court métrage
British/Irish Actor of the Year,Best Actor,Meilleur acteur
British/Irish Actress of the Year,Best Actress,Meilleure actrice
British/Irish Film of the Year,Best Regional Film,Meilleur film par région
British/Irish Performer of the Year,Best Actor,Meilleur acteur
British/Irish Short Film,Best Short Film,Meilleur court métrage
British/Irish Short Film of the Year,Best Short Film,Meilleur court métrage
Bronze Frog,Festival Award,Prix du festival
Bronze Frog (Main Competition),Festival Award,Prix du festival
Bronze Horse for Best Film,Best Film,Meilleur film
Bruce Sinofsky Prize for Documentary Feature,Best Documentary,Meilleur documentaire
BSFC Award - Best Actor,Best Actor,Meilleur acteur
BSFC Award - Best Actress,Best Actress,Meilleure actrice
BSFC Award - Best Cinematography,Best Cinematography,Meilleure photographie
BSFC Award - Best Director,Best Director,Meilleur réalisateur
BSFC Award - Best Documentary,Best Documentary,Meilleur documentaire
BSFC Award - Best Ensemble Cast,Best Ensemble,Meilleure distribution
BSFC Award - Best Film,Best Film,Meilleur film
BSFC Award - Best Film Editing,Best Film,Meilleur film
BSFC Award - Best Foreign Language Film,Best Foreign Film,Meilleur film étranger
BSFC Award - Best New Filmmaker,Other,Autre
BSFC Award - Best Picture,Best Film,Meilleur film
BSFC Award - Best Screenplay,Best Screenplay,Meilleur scénario
Busan Cinephile Award,Festival Award,Prix du festival
C.I.C.A.E. Award,Festival Award,Prix du festival
C.I.C.A.E. Award (Directors' Fortnight),Festival Award,Prix du festival
Caméra d’Or,Festival Award,Prix du festival
Canadian Film Institute Award for Best Canadian Animation,Best Animated Film,Meilleur film d’animation
Cannes Soundtrack Award,Best Music,Meilleure musique
Cannes Soundtrack Award - Best Composer,Best Music,Meilleure musique
Canvas Audience Award,Audience Award,Prix du public
Capri Actor Award,Festival Award,Prix du festival
Capri Movie of the Year Award,Best Film,Meilleur film
Capri Producer Award,Best Production Design,Meilleure direction artistique
Capri Score Award,Best Music,Meilleure musique
Capri Song Award,Best Music,Meilleure musique
Capri Special Award,Special Mention,Mention spéciale
Capri Supporting Actress Award,Best Supporting Actress,Meilleure actrice dans un second rôle
Capri Visionary Award,Other,Autre
Career Achievement Award,Best Technical Achievement,Meilleure contribution technique
Carmel Award - Best International Film,Best International Film,Meilleur film international
Casting,Best Ensemble,Meilleure distribution
Category Prize - Best Narrative,Best Fiction,Meilleure fiction
César - Best Actor,Best Actor,Meilleur acteur
César - Best Actress,Best Actress,Meilleure actrice
César - Best Adapted Screenplay,Best Screenplay,Meilleur scénario
César - Best Cinematography,Best Cinematography,Meilleure photographie
César - Best Costume Design,Best Costume Design,Meilleurs costumes
César - Best Costumes,Best Costume Design,Meilleurs costumes
César - Best Director,Best Director,Meilleur réalisateur
César - Best Documentary,Best Documentary,Meilleur documentaire
César - Best Documentary Feature,Best Documentary,Meilleur documentaire
César - Best Documentary Film,Best Documentary,Meilleur documentaire
César - Best Editing,Best Editing,Meilleur montage
César - Best Female Newcomer,Best Promising Actress,Meilleur espoir féminin
César - Best Film,Best Film,Meilleur film
César - Best Foreign Feature,Best Foreign Film,Meilleur film étranger
César - Best Foreign Film,Best Foreign Film,Meilleur film étranger
César - Best Original Music,Best Music,Meilleure musique
César - Best Original Screenplay,Best Screenplay,Meilleur scénario
César - Best Production Design,Best Production Design,Meilleure direction artistique
César - Best Promising Actress,Best Promising Actress,Meilleur espoir féminin
César - Best Short Film,Best Short Film,Meilleur court métrage
César - Best Short Film - Animation,Best Short Film,Meilleur court métrage
César - Best Sound,Best Sound,Meilleur son
César - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
César - Best Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
César - Best Visual Effects,Best Visual Effects,Meilleurs effets spéciaux
César - Most Promising Actor,Best Promising Actor,Meilleur espoir masculin
César - Most Promising Actress,Best Promising Actress,Meilleur espoir féminin
César du Public,Audience Award,Prix du public
CFCA Award - Best Actor,Best Actor,Meilleur acteur
CFCA Award - Best Adapted Screenplay,Best Screenplay,Meilleur scénario
CFCA Award - Best Cinematography,Best Cinematography,Meilleure photographie
CFCA Award - Best Costume Design,Best Costume Design,Meilleurs costumes
CFCA Award - Best Director,Best Director,Meilleur réalisateur
CFCA Award - Best Documentary,Best Documentary,Meilleur documentaire
CFCA Award - Best Editing,Best Editing,Meilleur montage
CFCA Award - Best Foreign Language Film,Best Foreign Film,Meilleur film étranger
CFCA Award - Best Original Screenplay,Best Screenplay,Meilleur scénario
CFCA Award - Best Picture,Best Film,Meilleur film
CFCA Award - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
CFCA Award - Most Promising Performer,Best Promising Actor,Meilleur espoir masculin
Chairman's Award,Jury Award,Prix du jury
Chairman’s Award,Jury Award,Prix du jury
Checkpoints Award,Other,Autre
"Checkpoints Award, Best Feature Documentary",Best Documentary,Meilleur documentaire
Cheval Noir Competition,Festival Award,Prix du festival
Children's Feature Film in 2014,Other,Autre
Cinefondation Award,Festival Award,Prix du festival
Cinema de la Plage,Festival Award,Prix du festival
Cinema Extraordinaire Award,Festival Award,Prix du festival
Cinema for Peace Award for Justice,Festival Award,Prix du festival
Cinema Vanguard Award,Festival Award,Prix du festival
Cinematic Achievement,Best Cinematography,Meilleure photographie
Cinematography,Best Cinematography,Meilleure photographie
Cinephiles of the Future Award,Other,Autre
CinEuphoria - Best Actor - International Competition,Best Actor,Meilleur acteur
CinEuphoria - Best Actress - Iberian Competition,Best Actress,Meilleure actrice
CinEuphoria - Best Actress - International Competition,Best Actress,Meilleure actrice
CinEuphoria - Best Cinematography - International Competition,Best Cinematography,Meilleure photographie
CinEuphoria - Best Director - Audience Award,Best Director,Meilleur réalisateur
CinEuphoria - Best Director - International Competition,Best Director,Meilleur réalisateur
CinEuphoria - Best Duo - International Competition,Best Duo,Meilleur duo
CinEuphoria - Best Editing - International Competition,Best Editing,Meilleur montage
CinEuphoria - Best Ensemble - International Competition,Best Ensemble,Meilleure distribution
CinEuphoria - Best Film - International Competition,Best Film,Meilleur film
CinEuphoria - Best Make-Up - International Competition,Best Make-Up,Meilleur maquillage
CinEuphoria - Best Original Music - International Competition,Best Music,Meilleure musique
CinEuphoria - Best Poster - International Competition,Other,Autre
CinEuphoria - Best Sequence - International Competition,Other,Autre
CinEuphoria - Best Sound/Sound Efects - International Competition,Best Sound,Meilleur son
CinEuphoria - Best Supporting Actor - International Competition,Best Supporting Actor,Meilleur acteur dans un second rôle
CinEuphoria - Best Supporting Actress - International Competition,Best Supporting Actress,Meilleure actrice dans un second rôle
CinEuphoria - Top Ten of the Year - International Competition,Top 10 Films,Top 10 films
CineVision Award - Best Film by an Emerging Director,Best Film,Meilleur film
Cipputi Award,Festival Award,Prix du festival
Citizen Kane Award for Best Directorial Revelation,Best Director,Meilleur réalisateur
Citizen Kane Award for Best New Director,Best Director,Meilleur réalisateur
Citizens' Prizes,Audience Award,Prix du public
City of Malmö's Audience Award,Audience Award,Prix du public
City of Melbourne Grand Prix for Best Short Film,Best Short Film,Meilleur court métrage
City Post Award for Best Animation Short Film,Best Short Film,Meilleur court métrage
Closing Film,Other,Autre
Closing Night,Other,Autre
Competition,Other,Autre
Contemporary World Cinema,Other,Autre
Contrechamp Grand Prix,Festival Award,Prix du festival
Costume Design,Best Costume Design,Meilleurs costumes
Courage in Acting Award,Other,Autre
Courage in Filmmaking,Other,Autre
Courage in Filmmaking Award,Other,Autre
Courage Under Fire Award,Other,Autre
Craft Award,Other,Autre
Creative Impact in Acting Award,Other,Autre
Creative Impact in Directing Award,Other,Autre
Creative Innovation in a Short Film,Best Short Film,Meilleur court métrage
CreativeFuture Innovation Award,Other,Autre
Crème de la Crème Award,Other,Autre
Cristal for a Feature Film,Best Feature,Meilleur long métrage
Cristal for a TV Production,Other,Autre
Critics Award,Critics Award,Prix de la critique
Critics Award - Best Foreign Film,Critics Award,Prix de la critique
Critics Week,Critics Award,Prix de la critique
Critics Week Grand Prize,Critics Award,Prix de la critique
Critics’ Award,Critics Award,Prix de la critique
Critics' Award - Best International Film,Critics Award,Prix de la critique
Critics’ Choice Award,Critics Award,Prix de la critique
Critics' Week,Critics Award,Prix de la critique
Critics' Week Grand Prize,Critics Award,Prix de la critique
Crystal Bear for Best Film (Generation Kplus),Best Film,Meilleur film
CST Award,Other,Autre
CST Award - Best Cinematography,Best Cinematography,Meilleure photographie
Culinary Zinema Best Film Award,Best Film,Meilleur film
Cultural Icon and Creator,Other,Autre
Cybervote Award,Other,Autre
Daniel Langlois Innovation Award,Other,Autre
Dare,Other,Autre
David - Best European Film,Best Regional Film,Autre
David - Best Foreign Film,Other,Autre
David Giovani Award,Other,Autre
David Lean Award for Achievement in Direction,Other,Autre
David Lean Award for Direction,Other,Autre
"Desert Palm Achievement Award, Actress",Other,Autre
DGA Award - Outstanding Directorial Achievement in Feature Film,Best Director,Meilleur réalisateur
DGA Award - Outstanding Directorial Achievement of a First-Time Theatrical Feature Film Director,Best Director,Meilleur réalisateur
Dioraphte Award,Other,Autre
Directing,Other,Autre
Directing Award (Documentary Competition),Best Documentary,Meilleur documentaire
Directing Award (U.S. Documentary Competition),Best Documentary,Meilleur documentaire
Director,Other,Autre
Director - Film,Other,Autre
Director Film,Other,Autre
Director of the Year,Other,Autre
Director of the Year Award,Other,Autre
Director's Fortnight,Other,Autre
Directorial Achievement Award,Other,Autre
Directors Fortnight,Other,Autre
Directors to Watch,Other,Autre
Directors' Fortnight,Other,Autre
Directors’ Fortnight,Other,Autre
Discovery of Year,Other,Autre
Discovery of Year (Odkrycie roku),Other,Autre
Doc Audience Award,Audience Award,Prix du public
Docs Award for Best Picture,Best Film,Meilleur film
Docs del Mes Award,Other,Autre
DocsBarcelona TV3 Award to the Best Film,Best Film,Meilleur film
Documentaire Extraordinaire,Other,Autre
Documentaire Extraordinaire Award,Other,Autre
Documentary,Best Documentary,Meilleur documentaire
Documentary (Audience Award),Audience Award,Prix du public
Documentary (Cinematography Award),Best Cinematography,Meilleure photographie
Documentary (Directing Award),Best Documentary,Meilleur documentaire
Documentary Competition,Best Documentary,Meilleur documentaire
Documentary Feature,Best Documentary,Meilleur documentaire
Documentary Feature (Audience Award),Audience Award,Prix du public
Documentary Film (Panorama Audience Award),Audience Award,Prix du public
Documentary Filmmaker Award,Best Documentary,Meilleur documentaire
Documentary of the Year,Best Documentary,Meilleur documentaire
Documentary of the Year (ALFS Award),Best Documentary,Meilleur documentaire
Documentary Shorts Competition,Best Documentary,Meilleur documentaire
Don Quixote Award,Other,Autre
Don Quixote Prize,Other,Autre
Douglas Hickox Award,Other,Autre
Douglas Sirk Prize,Other,Autre
DOX,Other,Autre
Dragon Award Best Acting,Other,Autre
Dragon Award Best International Film,Other,Autre
Dragon Award Best Nordic Documentary,Best Documentary,Meilleur documentaire
Drive-In,Other,Autre
Dublin Film Critics Award - Best Actor,Best Actor,Meilleur acteur
Dublin Film Critics Award - Best Actress,Best Actress,Meilleure actrice
Dublin Film Critics Special Jury Prize,Critics Award,Prix de la critique
Eagle - Best Actor,Best Actor,Meilleur acteur
Eagle - Best Actress,Best Actress,Meilleure actrice
Eagle - Best Cinematography,Best Cinematography,Meilleure photographie
Eagle - Best Costume Design,Best Costume Design,Meilleurs costumes
Eagle - Best Director,Best Director,Meilleur réalisateur
Eagle - Best Editing,Best Editing,Meilleur montage
Eagle - Best European Film,Other,Autre
Eagle - Best Film,Best Film,Meilleur film
Eagle - Best Film Score,Best Film,Meilleur film
Eagle - Best Production Design,Best Production Design,Meilleure direction artistique
Eagle - Best Screenplay,Best Screenplay,Meilleur scénario
Eagle - Best Sound,Best Sound,Meilleur son
Eagle - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
Eagle - Best Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
Eagle - Discovery of the Year,Other,Autre
Ebert Director Award,Other,Autre
Ecumenical Jury Award,Jury Award,Prix du jury
Ecumenical Jury Prize,Jury Award,Prix du jury
Edipo Re Award (Università degli Studi di Padova e ResInt Rete dell'Economia Sociale Internazionale),Other,Autre
Editing,Best Editing,Meilleur montage
Editor,Other,Autre
EFA People's Choice Award,Other,Autre
EFA People's Choice Award	- Best European Film,Other,Autre
EFA People's Choice Award - Best European Film,Other,Autre
Emerging Artist Award,Best Artist,Meilleur artiste
Emerging Canadian Director,Other,Autre
Emerging Documentary Filmmaker,Best Documentary,Meilleur documentaire
Emerging Documentary Filmmaker Award,Best Documentary,Meilleur documentaire
Emerging International Filmmaker Award,Other,Autre
Enfants Terribles Award for Best Feature Film,Other,Autre
Ensemble Cast Award,Best Ensemble,Meilleure distribution
Ensemble Performance (Special Jury Award),Jury Award,Prix du jury
Ensemble Performance Award,Best Ensemble,Meilleure distribution
Estonian Film Award,Other,Autre
Eurimages Award - Best European Co-Production,Other,Autre
Europa Cinemas Label,Other,Autre
Europa Junior Award,Other,Autre
European Actor,Other,Autre
European Actress,Other,Autre
European Animated Feature,Best Animated Film,Meilleur film d’animation
European Animated Feature Film,Best Animated Film,Meilleur film d’animation
European Cinemas Label Award,Other,Autre
European Cinematographer,Other,Autre
European Cinematographer (Carlo di Palma Award),Other,Autre
European Comedy,Best Comedy,Meilleure comédie
European Costume Designer,Best Costume Design,Meilleurs costumes
European Director,Other,Autre
European Director of the Year,Other,Autre
European Discovery,Other,Autre
European Discovery - Prix Fipresci,Other,Autre
European Discovery of the Year,Other,Autre
European Documentary,Best Documentary,Meilleur documentaire
European Documentary Award,Best Documentary,Meilleur documentaire
European Editor,Other,Autre
European Film,Other,Autre
European Film (Audience Award),Audience Award,Prix du public
European Hair & Makeup Artist,Best Make-Up,Meilleur maquillage
European Production Designer,Best Production Design,Meilleure direction artistique
European Screenwriter,Other,Autre
European Short Film,Best Short Film,Meilleur court métrage
European University Film Award,Other,Autre
European Visual Effects Supervisor,Best Visual Effects,Meilleurs effets spéciaux
Ex Aequo,Other,Autre
Excellence in Title Design,Other,Autre
Explore Award,Other,Autre
Extraordinary Contributions to Motion Pictures As an Art Form,Other,Autre
F,Other,Autre
FACE Award (Human Rights in Cinema Competition) [FACE Ödülü - Sinemada İnsan Hakları Yarışması],Freedom/Peace Price,Prix pour la liberté/paix
FACE Award [FACE Ödülü],Other,Autre
Fair Play Award at the Cinema - Fair Play Award at the Cinema - Vivere da Sportivi,Other,Autre
Fan Favourite Award,Other,Autre
Fanheart3 Award - Graffetta d’Oro for Best Film,Best Film,Meilleur film
Favorite Independent World Feature,Other,Autre
Favorite World Feature (Audience Award),Audience Award,Prix du public
Feature (Audience Award),Audience Award,Prix du public
Feature (Special Jury Award),Jury Award,Prix du jury
Feature Documentary Award,Best Documentary,Meilleur documentaire
Feature Film,Best Feature,Meilleur long métrage
Feature Film (Audience Award),Audience Award,Prix du public
Feature Film (Audience Choice Award),Audience Award,Prix du public
Feature FIlm (BAFTA British Academy Children's Award),Audience Award,Prix du public
Feature Film (British Academy Children's Award),Audience Award,Prix du public
Feature Film (Children's Award),Audience Award,Prix du public
Feature Film (FilmLight Color Award),Audience Award,Prix du public
Feature Film (Special Jury Prize),Jury Award,Prix du jury
Fedeora Award - Best Film (Venice Days),Best Film,Meilleur film
Felix Award,Festival Award,Prix du festival
Female's Right to Male Roles in Movies,Other,Autre
Festival Audience Award,Audience Award,Prix du public
Festival Award - Best Animation,Best Animated Film,Meilleur film d’animation
Festival Favorite Award,Jury Award,Prix du jury
Festival Favorites (Audience Award),Audience Award,Prix du public
Festival Prize - Best Screenplay,Best Screenplay,Meilleur scénario
Festivals Connexion – Auvergne-Rhône-Alpes Award,Jury Award,Prix du jury
Festivals Connexion Award,Festival Award,Prix du festival
Fiction Feature (Audience Award),Best Fiction,Meilleure fiction
FIlm,Best Film,Meilleur film
Film Design Award - Special Jury Recognition,Best Production Design,Meilleure direction artistique
Film Not in the English Language,Best Foreign Film,Meilleur film étranger
Film of the Festival,Festival Award,Prix du festival
Film of the Year,Best Film,Meilleur film
Film Prize 'Leipziger Ring',Festival Award,Prix du festival
FilmFest Hamburg Critics' Award,Critics Award,Prix de la critique
Filmmakers Who Make a Difference Award,Best Director,Meilleur réalisateur
Films of Merit,Other,Autre
Films4Families Youth Jury Award,Jury Award,Prix du jury
FIPRESCI Award,Festival Award,Prix du festival
FIPRESCI Award (Competition),Festival Award,Prix du festival
FIPRESCI Award [FIPRESCI Ödülü],Other,Autre
FIPRESCI Award for Best International Debut Film,Best First Film,Meilleur premier film
FIPRESCI Film of the Year,Best Film,Meilleur film
FIPRESCI Grand Prix,Jury Award,Prix du jury
FIPRESCI Prize,Festival Award,Prix du festival
FIPRESCI Prize - Best Actor,Best Actor,Meilleur acteur
FIPRESCI Prize - Best Actor in an International Feature Film,Best Actor,Meilleur acteur
FIPRESCI Prize - Best Actress,Best Actress,Meilleure actrice
FIPRESCI Prize - Best Film,Best Film,Meilleur film
FIPRESCI Prize - Best Foreign Language Film,Best Foreign Film,Meilleur film étranger
FIPRESCI Prize - Best Foreign-Language Film of the Year,Best Foreign Film,Meilleur film étranger
FIPRESCI Prize - Best International Film,Best International Film,Meilleur film international
FIPRESCI Prize - Competition,Jury Award,Prix du jury
FIPRESCI Prize for Best Actress in a Foreign-Language Film,Best Actress,Meilleure actrice
FIPRESCI Prize for Best Actress in a International Feature Film,Best Actress,Meilleure actrice
FIPRESCI Prize for Best Foreign Language Film of the Year,Best Foreign Film,Meilleur film étranger
FIPRESCI Prize for Best International Feature Film,Best International Film,Meilleur film international
FIPRESCI Prize for Best International Screenplay,Best Screenplay,Meilleur scénario
FIPRESCI Prize for International Screenplay,Best Screenplay,Meilleur scénario
Firebird Award (Documentary),Best Documentary,Meilleur documentaire
Firebird Award (Short Film),Best Short Film,Meilleur court métrage
First Feature Award,Best First Film,Meilleur premier film
First Feature Competition (Sutherland Award),Best First Film,Meilleur premier film
Fischer Audience Award,Audience Award,Prix du public
Fischer Audience Award - Open Horizons Section,Audience Award,Prix du public
Foreign Film Director,Best Foreign Film,Meilleur film étranger
Foreign Language Film,Best Foreign Film,Meilleur film étranger
Foreign Language Film of the Year,Best Foreign Film,Meilleur film étranger
Foreign-Language Film of the Year,Best Foreign Film,Meilleur film étranger
Format Court Award (IndieJunior),Festival Award,Prix du festival
Founder’s Award,Festival Award,Prix du festival
François Chalais Award,Festival Award,Prix du festival
Free Spirit Award,Freedom/Peace Price,Prix pour la liberté/paix
Freedom of Expression - Honorary Award,Special Mention,Mention spéciale
Freedom of Expression Award,Freedom/Peace Price,Prix pour la liberté/paix
French Touch Prize of the Critics' Week Jury,Critics Award,Prix de la critique
Fritz Gerlich Prize,Festival Award,Prix du festival
FUNDOS Award,Festival Award,Prix du festival
"FUNDOS Award, Best Feature Documentary",Best Documentary,Meilleur documentaire
Future Film Festival Digital Award,Other,Autre
Gabriel Sherover Foundation Award - Best International Film,Best International Film,Meilleur film international
Gala,Other,Autre
Gan Foundation Aid for Distribution for a Work in Progress Award,Other,Autre
Gan Foundation Award for Distribution,Festival Award,Prix du festival
Gan Foundation Support for Distribution,Festival Award,Prix du festival
Gandhi's Glasses Award,Festival Award,Prix du festival
Gedanken-Aufschluss,Festival Award,Prix du festival
Georges Delerue Award for Best Soundtrack/Sound Design,Best Music,Meilleure musique
German Cinema Award for Peace,Freedom/Peace Price,Prix pour la liberté/paix
German Cinema Award for Peace - Special Prize,Jury Award,Prix du jury
German Cinema Award for Peace - Young Talent Prize,Best Promising Actor,Meilleur espoir masculin
German Independence Award - Best Short Film,Best Short Film,Meilleur court métrage
Gold Giraldillo - Best Film,Best Film,Meilleur film
Gold Hugo,Festival Award,Prix du festival
Gold Hugo - Animated Short Film Competition,Best Animated Short Film,Meilleur court métrage d’animation
Gold Hugo - Best Animated Short,Best Animated Short Film,Meilleur court métrage d’animation
Gold Hugo - Best Feature,Best Feature,Meilleur long métrage
Gold Hugo - Best Film,Best Film,Meilleur film
Gold Hugo (New Directors Competition),Other,Autre
Gold Q-Hugo,Festival Award,Prix du festival
Golden Alexander,Festival Award,Prix du festival
Golden Athena,Festival Award,Prix du festival
Golden Athena Award (Documentary),Best Documentary,Meilleur documentaire
Golden Athena Award for Best Documentary,Best Documentary,Meilleur documentaire
Golden Blogos,Festival Award,Prix du festival
Golden Blogos Award,Festival Award,Prix du festival
Golden Camera,Best Cinematography,Meilleure photographie
Golden Eye,Festival Award,Prix du festival
Golden Eye - International Feature Film,Best International Film,Meilleur film international
Golden Firebird Award,Festival Award,Prix du festival
Golden Frog,Festival Award,Prix du festival
Golden Frog - Main Competition,Festival Award,Prix du festival
Golden Frog (Feature Documentary Films Competition),Best Documentary,Meilleur documentaire
Golden Frog (Main Competition),Festival Award,Prix du festival
Golden Gate Award - Bay Area Short Film,Best Short Film,Meilleur court métrage
Golden Gate Award - Best Family FIlm,Other,Autre
Golden Gate Award for Best Narrative Short,Best Short Film,Meilleur court métrage
Golden Gateway Award for Best Film (International Competition),Best Film,Meilleur film
Golden Globe - Best Performance by an Actor in a Motion Picture - Drama,Best Actor,Meilleur acteur
Golden Goblet - Best Screenplay,Best Screenplay,Meilleur scénario
Golden Goblet Award (Animated Short Film),Best Animated Short Film,Meilleur court métrage d’animation
Golden Goblet Award (Animation),Best Animated Film,Meilleur film d’animation
Golden Hugo,Festival Award,Prix du festival
Golden Iris - Best Film,Best Film,Meilleur film
Golden Kangaroo,Festival Award,Prix du festival
Golden Lion for Best Film,Best Film,Meilleur film
Golden Lion-Best Film,Best Film,Meilleur film
Golden Mouse,Festival Award,Prix du festival
Golden Space Needle,Festival Award,Prix du festival
Golden Spike - Best Film,Best Film,Meilleur film
Golden Spike for Best Short Film,Best Short Film,Meilleur court métrage
Golden Tulip - National Short Film Competition [Altın Lale - Ulusal Kısa Film Yarışması],Best Short Film,Meilleur court métrage
Golden Tulip (International) [Altın Lale (Uluslararası Yarışma]],Festival Award,Prix du festival
Golden Wolf (Best Film),Best Film,Meilleur film
Gotham Independent Film Award - Best International Feature,Best International Film,Meilleur film international
Goya - Best Actress,Best Actress,Meilleure actrice
Goya - Best Art Direction,Best Production Design,Meilleure direction artistique
Goya - Best Cinematography,Best Cinematography,Meilleure photographie
Goya - Best Director,Best Director,Meilleur réalisateur
Goya - Best Editing,Best Editing,Meilleur montage
Goya - Best European Film,Best Regional Film,Meilleur film par région
Goya - Best Film,Best Film,Meilleur film
Goya - Best Iberoamerican Film,Best Regional Film,Meilleur film par région
Goya - Best Lead Actor,Best Actor,Meilleur acteur
Goya - Best Make-Up and Hairstyles,Best Make-Up,Meilleur maquillage
Goya - Best Original Score,Best Music,Meilleure musique
Goya - Best Original Screenplay,Best Screenplay,Meilleur scénario
Goya - Best Production Manager,Best Production Design,Meilleure direction artistique
Goya - Best Sound,Best Sound,Meilleur son
Goya - Best Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
Grand Award of the Festival of Bilbao,Festival Award,Prix du festival
Grand Jury Award,Jury Award,Prix du jury
Grand Jury Award - Best International Narrative Feature,Best Fiction,Meilleure fiction
Grand Jury Prize,Jury Award,Prix du jury
Grand Jury Prize - Short Film,Jury Award,Prix du jury
Grand Jury Prize – Documentary Short,Best Short Film,Meilleur court métrage
Grand Jury Prize (Documentary Short),Best Documentary,Meilleur documentaire
Grand Jury Prize (Documentary),Best Documentary,Meilleur documentaire
Grand Jury Prize (International Competition),Best International Film,Meilleur film international
Grand Jury Prize (Knight Documentary Competition),Best Documentary,Meilleur documentaire
Grand Jury Prize (U.S. Dramatic Competition),Best Dramatic Film,Meilleur film dramatique
Grand Jury Prize (World Cinema - Documentary),Best Documentary,Meilleur documentaire
Grand Prix,Jury Award,Autre
Grand Prix - Best Film,Best Film,Meilleur film
Grand Prix - International Competition,Best International Film,Meilleur film international
Grand Prix Documentary Short,Best Documentary,Meilleur documentaire
Grand Prix du Jury,Jury Award,Prix du jury
Grand prix du jury,Jury Award,Prix du jury
Grand prix du jury pour un court métrage,Jury Award,Prix du jury
Grand Prix for Best Short Film,Best Short Film,Meilleur court métrage
Grand Prix of the Generation Kplus International Jury for the Best Film,Best Film,Meilleur film
Grand Prix of the International Jury Generation Kplus for the Best Film,Best Film,Meilleur film
Grand Prize,Best Film,Meilleur film
Grand Prize (Focus Quebec/Canada),Best Film,Meilleur film
Grand Prize for Best International Feature,Best Film,Meilleur film
Grand Special Prize,Festival Award,Prix du festival
Greek Film Critics Association Award,Critics Award,Prix de la critique
Green Drop Award,Festival Award,Prix du festival
Green Spike,Festival Award,Prix du festival
Grolsch People's Choice Award,Other,Autre
Grolsch People's Choice Documentary Award,Best Documentary,Meilleur documentaire
Guglielmo Biraghi Award,Other,Autre
Hair & Make-Up,Best Make-Up,Meilleur maquillage
Hall of Shame,Other,Autre
Headliners,Other,Autre
Heart of Sarajevo - Best Actress,Best Actress,Meilleure actrice
Heart of Sarajevo - Best Film,Best Film,Meilleur film
Heike Hurst Award - Best First Film,Best First Film,Meilleur premier film
Henning Bahs Award for Best Set Design,Best Production Design,Meilleure direction artistique
HIFF Best Short Film Award,Best Short Film,Meilleur court métrage
Histoire(s) du cinéma,Other,Autre
Holden School Award,Other,Autre
Homage,Special Mention,Mention spéciale
Honorable Mention - Best Emerging Filmmakers,Special Mention,Mention spéciale
Honorary Lumiere Award,Special Mention,Mention spéciale
Honorary Magritte Award,Special Mention,Mention spéciale
Hors Competition,Other,Autre
HP Bridging the Borders,Freedom/Peace Price,Prix pour la liberté/paix
Human Rights Award,Freedom/Peace Price,Prix pour la liberté/paix
Human Rights Film Network Award,Freedom/Peace Price,Prix pour la liberté/paix
Humor & Humanity Award,Freedom/Peace Price,Prix pour la liberté/paix
Icon Award,Other,Autre
Icons,Other,Autre
